year,instance,kernel_width,predicted_class,true_class,test
1990,peace,0.08298725055133023,+care,+care,categorization
1990,sympathize,0.08279012937413328,+care,+care,categorization
1990,defence,0.09472627091160873,+care,+care,categorization
1990,care,0.07930043316319468,+care,+care,categorization
1990,protective,0.08359825403728491,+care,+care,categorization
1990,protector,0.08746438078415392,+care,+care,categorization
1990,procurement,0.09250437972978584,-loyalty,+care,categorization
1990,amity,0.09129132755897197,+care,+care,categorization
1990,defender,0.07993596838485288,+care,+care,categorization
1990,sympathise,0.08590232861576608,-loyalty,+care,categorization
1990,safe,0.08327105379200139,+care,+care,categorization
1990,sympathy,0.08341445542766829,+care,+care,categorization
1990,empathize,0.09249239504841203,+care,+care,categorization
1990,benefit,0.09453480731983165,-care,+care,categorization
1990,sympathetic,0.08454231885821932,+care,+care,categorization
1990,empathy,0.08983341999387821,+care,+care,categorization
1990,defend,0.08788436347188543,+care,+care,categorization
1990,compassion,0.0856434861666831,+care,+care,categorization
1990,caring,0.08643489209237218,+care,+care,categorization
1990,shield,0.0824334887194834,+care,+care,categorization
1990,secure,0.08965861693115294,+care,+care,categorization
1990,shelter,0.08171185550610834,+care,+care,categorization
1990,compassionate,0.09578891313134062,+care,+care,categorization
1990,protection,0.09342004174694721,+care,+care,categorization
1990,protect,0.0886365253612969,+care,+care,categorization
1990,guard,0.08526402668670606,-loyalty,+care,categorization
1990,pacify,0.09433980771072699,-loyalty,+care,categorization
1990,evenness,0.08043694633775297,-sanctity,+fairness,categorization
1990,equivalent,0.08962092312273733,+fairness,+fairness,categorization
1990,equable,0.09355312518280554,-sanctity,+fairness,categorization
1990,fairness,0.07691893478022958,+fairness,+fairness,categorization
1990,indifference,0.07762842800763063,+authority,+fairness,categorization
1990,unbiased,0.08723089548777964,+fairness,+fairness,categorization
1990,justification,0.09520522154792986,+fairness,+fairness,categorization
1990,reasonable,0.08244048793211223,+fairness,+fairness,categorization
1990,egalitarian,0.07617736323404495,+authority,+fairness,categorization
1990,impartiality,0.08189736214316029,+fairness,+fairness,categorization
1990,justness,0.08203711954757173,-loyalty,+fairness,categorization
1990,tolerant,0.08503490478514861,+care,+fairness,categorization
1990,justifiable,0.0882925583120156,+fairness,+fairness,categorization
1990,balance,0.09014296366074727,+fairness,+fairness,categorization
1990,constant,0.08991550185160985,+fairness,+fairness,categorization
1990,equal,0.09357462846246876,-fairness,+fairness,categorization
1990,fair,0.09179771155513489,+fairness,+fairness,categorization
1990,fairly,0.0846662146713458,+fairness,+fairness,categorization
1990,homologous,0.0770819011960144,+loyalty,+fairness,categorization
1990,justice,0.08641352615388884,+fairness,+fairness,categorization
1990,reciprocal,0.08119329287056654,+fairness,+fairness,categorization
